
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  UDP    0.0.0.0:5353           *:*                                    18724
  UDP    0.0.0.0:5353           *:*                                    15116
  UDP    0.0.0.0:5353           *:*                                    268
  UDP    0.0.0.0:5353           *:*                                    1372
  UDP    0.0.0.0:5353           *:*                                    15116
  UDP    0.0.0.0:5353           *:*                                    1372
  UDP    0.0.0.0:5353           *:*                                    268
  UDP    0.0.0.0:5353           *:*                                    18724
  UDP    0.0.0.0:5353           *:*                                    8804
  UDP    0.0.0.0:5353           *:*                                    2412
  UDP    0.0.0.0:5355           *:*                                    2412
  UDP    0.0.0.0:27036          *:*                                    5788
  UDP    0.0.0.0:49323          0.0.32.10:443                          268
  UDP    0.0.0.0:51073          *:*                                    8232
  UDP    0.0.0.0:54297          *:*                                    10212
  UDP    0.0.0.0:54735          *:*                                    8232
  UDP    0.0.0.0:54985          *:*                                    10212
  UDP    0.0.0.0:55026          *:*                                    8232
  UDP    0.0.0.0:55192          0.0.32.14:443                          268
  UDP    0.0.0.0:55586          *:*                                    2412
  UDP    0.0.0.0:56610          *:*                                    1372
  UDP    0.0.0.0:57301          0.0.136.68:443                         8232
  UDP    0.0.0.0:57621          *:*                                    1372
  UDP    0.0.0.0:57960          0.0.0.3:443                            8232
  UDP    0.0.0.0:59020          0.0.32.3:443                           268
  UDP    0.0.0.0:59815          51.51.112.32:443                       268
  UDP    0.0.0.0:60620          0.0.1.103:443                          268
  UDP    0.0.0.0:60817          162.159.135.232:443                    13516
  UDP    0.0.0.0:61364          *:*                                    8232
  UDP    0.0.0.0:62222          *:*                                    2412
  UDP    0.0.0.0:64544          *:*                                    8232
  UDP    0.0.0.0:65105          *:*                                    2412
  UDP    0.0.0.0:65333          *:*                                    10212
  UDP    127.0.0.1:1900         *:*                                    4896
  UDP    127.0.0.1:51221        *:*                                    4896
  UDP    127.0.0.1:63187        127.0.0.1:63187                        3692
  UDP    192.168.100.54:137     *:*                                    4
  UDP    192.168.100.54:138     *:*                                    4
  UDP    192.168.100.54:1900    *:*                                    4896
  UDP    192.168.100.54:2177    *:*                                    16832
  UDP    192.168.100.54:27036   *:*                                    5788
  UDP    192.168.100.54:51220   *:*                                    4896
  UDP    [::]:5353              *:*                                    1372
  UDP    [::]:5353              *:*                                    1372
  UDP    [::]:5353              *:*                                    1372
  UDP    [::]:5353              *:*                                    18724
  UDP    [::]:5353              *:*                                    268
  UDP    [::]:5353              *:*                                    15116
  UDP    [::]:5353              *:*                                    1372
  UDP    [::]:5353              *:*                                    2412
  UDP    [::]:5353              *:*                                    8804
  UDP    [::]:5355              *:*                                    2412
  UDP    [::]:49323             [2800:3f0:4001:817::200a]:443                  268
  UDP    [::]:51073             [2600:1901:1:365::]:443                  8232
  UDP    [::]:54735             [2600:1901:1:7c5::]:443                  8232
  UDP    [::]:55026             [2600:1901:1:7c5::]:443                  8232
